date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
2026-02-07 05:00:00+00:00,23.979,16.229,5.2999997,7.2805495
2026-02-08 05:00:00+00:00,22.479,16.729,0.3,8.4042845
2026-02-09 05:00:00+00:00,24.678999,16.479,0.0,7.928178
2026-02-10 05:00:00+00:00,24.828999,15.829,0.0,7.5942073
2026-02-11 05:00:00+00:00,24.928999,16.479,3.2999997,6.28713
2026-02-12 05:00:00+00:00,24.229,17.279,23.000002,6.489992
2026-02-13 05:00:00+00:00,23.178999,17.129,9.699999,6.439876
